kernel,dataset,model,log2_ratio
Hadamard,Diagonal,Dense,5.643856189774724
Hadamard,Diagonal,Uniform,-5.643856189774724
Hadamard,Diagonal,DC,0.0
Hadamard,Diagonal,Database,0.0
Hadamard,Diagonal,Blocked-Dense,5.643856189774724
Hadamard,Diagonal,Blocked-Uniform,-3.321928094887362
Hadamard,Diagonal,Blocked-DC,0.0
Hadamard,Diagonal,Blocked-Database,0.0
Hadamard,Tridiagonal,Dense,4.0782590139204995
Hadamard,Tridiagonal,Uniform,-4.0782590139204995
Hadamard,Tridiagonal,DC,0.0
Hadamard,Tridiagonal,Database,1.565597175854225
Hadamard,Tridiagonal,Blocked-Dense,4.0782590139204995
Hadamard,Tridiagonal,Blocked-Uniform,-1.9137303410889814
Hadamard,Tridiagonal,Blocked-DC,0.0
Hadamard,Tridiagonal,Blocked-Database,1.434402824145775
Hadamard,Banded,Dense,2.265344566520995
Hadamard,Banded,Uniform,-2.265344566520995
Hadamard,Banded,DC,0.0
Hadamard,Banded,Database,3.37851162325373
Hadamard,Banded,Blocked-Dense,2.265344566520995
Hadamard,Banded,Blocked-Uniform,-0.6214883767462699
Hadamard,Banded,Blocked-DC,0.0
Hadamard,Banded,Blocked-Database,2.7752937128253055
Hadamard,Triangular,Dense,0.9714308478032291
Hadamard,Triangular,Uniform,-0.9714308478032291
Hadamard,Triangular,DC,0.0
Hadamard,Triangular,Database,4.672425341971495
Hadamard,Triangular,Blocked-Dense,0.9714308478032291
Hadamard,Triangular,Blocked-Uniform,-0.14729609076752234
Hadamard,Triangular,Blocked-DC,0.0
Hadamard,Triangular,Blocked-Database,3.17463200411984
Hadamard,Striped,Dense,2.321928094887362
Hadamard,Striped,Uniform,-2.321928094887362
Hadamard,Striped,DC,0.0
Hadamard,Striped,Database,3.321928094887362
Hadamard,Striped,Blocked-Dense,2.321928094887362
Hadamard,Striped,Blocked-Uniform,-2.3219280948873617
Hadamard,Striped,Blocked-DC,0.0
Hadamard,Striped,Blocked-Database,1.0
Hadamard,ca-GrQc,Dense,8.965784284662087
Hadamard,ca-GrQc,Uniform,-2.321928094887362
Hadamard,ca-GrQc,DC,0.0
Hadamard,ca-GrQc,Database,0.0
Hadamard,ca-GrQc,Blocked-Dense,8.965784284662087
Hadamard,ca-GrQc,Blocked-Uniform,-2.321928094887362
Hadamard,ca-GrQc,Blocked-DC,0.0
Hadamard,ca-GrQc,Blocked-Database,0.0
Hadamard,ca-HepTh,Dense,10.287712379549449
Hadamard,ca-HepTh,Uniform,-1.0
Hadamard,ca-HepTh,DC,0.0
Hadamard,ca-HepTh,Database,0.0
Hadamard,ca-HepTh,Blocked-Dense,10.287712379549449
Hadamard,ca-HepTh,Blocked-Uniform,-1.0
Hadamard,ca-HepTh,Blocked-DC,0.0
Hadamard,ca-HepTh,Blocked-Database,0.0
Hadamard,web-NotreDame,Dense,3.5734668618833267
Hadamard,web-NotreDame,Uniform,-3.5734668618833267
Hadamard,web-NotreDame,DC,0.0
Hadamard,web-NotreDame,Database,2.070389327891398
Hadamard,web-NotreDame,Blocked-Dense,3.5734668618833267
Hadamard,web-NotreDame,Blocked-Uniform,-2.3722597704375072
Hadamard,web-NotreDame,Blocked-DC,0.0
Hadamard,web-NotreDame,Blocked-Database,1.353423585533355
SpGEMM,Diagonal,Dense,5.643856189774724
SpGEMM,Diagonal,Uniform,-0.01411719500061129
SpGEMM,Diagonal,DC,0.0
SpGEMM,Diagonal,Database,0.0
SpGEMM,Diagonal,Blocked-Dense,5.643856189774724
SpGEMM,Diagonal,Blocked-Uniform,-0.06464699685071804
SpGEMM,Diagonal,Blocked-DC,0.0
SpGEMM,Diagonal,Blocked-Database,0.0
